,CONJUNTO,VIZINHOS,AMOSTRAS,PORCENTAGEM,CUSTO,GAP,TIME,PESOS,CAPACIDADES
56,WEISH01,3t,1.0,0.8,4534.0,0.0043917435221783,8.1325523853302,30.0,5.0
57,WEISH02,1t,1.0,0.8,2939.6,0.3519400352733686,0.01654648780822748,30.0,5.0
58,WEISH02,2t,1.0,0.8000000000000002,4386.666666666667,0.032921810699588466,0.46795280774434406,30.0,5.0
59,WEISH02,3t,1.0,0.8,4466.0,0.015432098765432,7.166862726211548,30.0,5.0
60,WEISH03,1t,1.0,0.8,1990.0,0.5164034021871202,0.0115066528320312,30.0,5.0
61,WEISH03,2t,1.0,0.8000000000000002,4018.3333333333335,0.023491292021061132,0.4771244525909424,30.0,5.0
62,WEISH03,3t,1.0,0.8,4080.0,0.008505467800729,8.649883031845093,30.0,5.0
63,WEISH04,1t,1.0,0.8,1958.6,0.570576627932471,0.0183996200561523,30.0,5.0
64,WEISH04,2t,1.0,0.8000000000000002,4505.0,0.0122780092085069,0.3835891882578532,30.0,5.0
65,WEISH04,3t,1.0,0.8,4531.0,0.0065775049331287,7.969732046127319,30.0,5.0
66,WEISH05,1t,1.0,0.8,2256.6,0.5000886132033673,0.0133703231811523,30.0,5.0
67,WEISH05,2t,1.0,0.8000000000000002,4074.6666666666665,0.09732683503175306,0.3477592468261719,30.0,5.0
68,WEISH05,3t,1.0,0.8,4460.0,0.0119627824545857,7.066810131072998,30.0,5.0
69,WEISH06,1t,1.0,0.8,2940.4,0.47086557495051284,0.027242088317871022,40.0,5.0
70,WEISH06,2t,1.0,0.8000000000000002,5441.333333333333,0.020814588207066134,0.7913375695546468,40.0,5.0
71,WEISH06,3t,1.0,0.8,5557.0,0.0,23.82618188858032,40.0,5.0
72,WEISH07,1t,1.0,0.8,2903.4,0.47846236752290283,0.01819338798522946,40.0,5.0
73,WEISH07,2t,1.0,0.8000000000000002,5375.0,0.0344889527573199,0.7268127600351969,40.0,5.0
74,WEISH07,3t,1.0,0.8,5527.0,0.0071851984911083,19.592785120010376,40.0,5.0
75,WEISH08,1t,1.0,0.8,3452.4,0.38404995539696696,0.02566380500793452,40.0,5.0
76,WEISH08,2t,1.0,0.8000000000000002,5402.0,0.036217662801070465,0.6921339829762777,40.0,5.0
77,WEISH08,3t,1.0,0.8,5592.0,0.0023193577163247,20.734708070755005,40.0,5.0
78,WEISH09,1t,1.0,0.8,2090.0,0.6016012199771255,0.01986269950866696,40.0,5.0
79,WEISH09,2t,1.0,0.8000000000000002,4718.666666666667,0.10052103189731854,0.786962111790975,40.0,5.0
80,WEISH09,3t,1.0,0.8,5209.0,0.0070529927563858,16.931907176971436,40.0,5.0
81,WEISH10,1t,1.0,0.8,3361.8,0.4696639848556554,0.030678892135620063,50.0,5.0
82,WEISH10,2t,1.0,0.8000000000000002,6199.0,0.022085502445180566,1.0677151679992676,50.0,5.0
83,WEISH10,3t,1.0,0.8,6292.0,0.0074144186780249,43.03916001319885,50.0,5.0
84,WEISH11,1t,1.0,0.8,2076.6,0.6320042530568847,0.026421785354614202,50.0,5.0
85,WEISH11,2t,1.0,0.8000000000000002,5543.0,0.017721070352649266,1.0900365511576335,50.0,5.0
86,WEISH11,3t,1.0,0.8,5624.0,0.0033670033670033,39.64780116081238,50.0,5.0
