CONJUNTO,AMOSTRAS,PORCENTAGEM,VETOR,CUSTO,GAP,TIME,VIZINHOS
WEISH20,5,0.8,"[1 0 0 0 1 0 1 0 1 1 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0
 0 1 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 0 1 1 1 1 0 0 1 1 0 1 1]",9450,0.0,10.62344479560852,2t
WEISH20,5,0.8,"[1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0
 0 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 0 1 1 0 0 1]",9260,0.0201058201058201,10.799096584320068,2t
WEISH20,5,0.8,"[1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 1 0 0
 0 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 1 1 0 0 1 1 0 1 1]",9407,0.0045502645502645,10.441102504730225,2t
WEISH21,5,0.8,"[1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0
 0 1 1 0 1 1 0 0 0 0 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 1]",8963,0.012232752920432,9.307379245758057,2t
WEISH21,5,0.8,"[1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0
 0 1 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1]",8989,0.009367423407538,9.45014238357544,2t
WEISH21,5,0.8,"[1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0
 0 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 0 0 1 0 1 0 1 1 1 1 1 0 1 1 0 0 1]",9025,0.0054000440819925,9.102391242980955,2t
WEISH22,5,0.8,"[1 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 0
 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 1 1 1 0 1 1
 0 0 0 0 1 0]",8859,0.0098356991170224,13.74427890777588,2t
WEISH22,5,0.8,"[1 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 1 0 1 0 1 0 0
 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1
 0 0 0 0 1 0]",8779,0.018777243768861,13.696709156036375,2t
WEISH22,5,0.8,"[1 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 1 1 0 1 0 1 0 0
 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1
 0 0 0 0 1 0]",8881,0.0073767743377668,13.947015523910522,2t
WEISH23,5,0.8,"[1 0 1 1 1 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0
 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1
 0 0 0 0 0 0]",8308,0.0043144774688398,13.522632837295532,2t
WEISH23,5,0.8,"[1 0 0 1 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 1 1 0 1 0 1 0 0
 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1
 0 0 0 0 0 0]",8260,0.0100671140939597,13.186608791351318,2t
WEISH23,5,0.8,"[1 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0
 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1
 0 0 0 0 1 0]",8291,0.0063518696069031,13.501958847045898,2t
WEISH24,5,0.8,"[1 1 0 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1 0 0
 0 1 1 0 1 1 0 0 0 0 1 1 1 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 1 0 1 1 0 0 1 0
 1 1 0 0 0 0]",10187,0.0032289628180039,15.607649326324465,2t
WEISH24,5,0.8,"[1 1 0 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 1 1 0 1 0 1 0 0
 0 1 1 0 1 1 0 1 0 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0 1 1 0 1 1 0 0 1 0
 1 1 0 0 0 1]",10168,0.0050880626223091,15.815408945083618,2t
WEISH24,5,0.8,"[1 1 0 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 1 1 0 1 0 1 0 0
 0 1 1 0 0 1 0 1 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0 1 1 1 0 0 1 1 0 1 1 0 0 1 0
 1 1 0 0 1 1]",10158,0.0060665362035225,15.441965341567991,2t
WEISH25,5,0.8,"[1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0
 0 1 1 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 1
 0 1 0 0 0 0]",9910,0.0029177985712848,14.793315649032593,2t
