CONJUNTO,AMOSTRAS,PORCENTAGEM,VETOR,CUSTO,GAP,TIME,PARTS,N_GENETIC_OUTPUT,CHANCE_OF_MUTATION
WEING5,10,0.8,[0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0],72933,0.2617818535163367,0.009871482849121094,2,5,0.5
WEING6,10,0.8,[1 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0],108914,0.16619584606080093,0.050774574279785156,2,5,0.5
WEING6,10,0.8,[1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0],96736,0.2594259816418242,0.022133827209472656,2,5,0.5
WEING6,10,0.8,[1 0 1 0 0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0],121108,0.07284322056605651,0.11195635795593262,2,5,0.5
WEING6,10,0.8,[0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 1 1 0 1 1 0 0 0],106080,0.18789187202866264,0.12158656120300293,2,5,0.5
WEING6,10,0.8,[1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 0],119342,0.08636304479303032,0.06896114349365234,2,5,0.5
WEING7,10,0.8,"[0 1 0 1 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0
 0 1 0 0 0 0 1 0 1 1 1 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 0 0 0
 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 0 1 0 0 0 1 1 1 1 0 0 1 1 0 1 0]",613620,0.4398440816289271,0.4115898609161377,2,5,0.5
WEING7,10,0.8,"[1 1 1 1 0 0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 1
 0 1 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 1 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 1 1
 1 0 0 1 1 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]",907566,0.17150929530921225,0.9308042526245117,2,5,0.5
WEING7,10,0.8,"[1 1 1 1 1 1 0 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1
 0 1 1 1 0 0 0 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 0
 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1]",991444,0.09493949947281698,1.3712670803070068,2,5,0.5
WEING7,10,0.8,"[1 1 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1
 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0
 1 1 0 1 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0 0 1 0 0 1 0 0 0 1 0]",1018988,0.06979537995974239,1.7801830768585205,2,5,0.5
